Protein	dim1
362663.ECP_2925	588
362663.ECP_2288	589
362663.ECP_2929	590
362663.ECP_3952	591
362663.ECP_1421	592
362663.ECP_1727	593
362663.ECP_2716	594
362663.ECP_4767	595
362663.ECP_4765	596
362663.ECP_2783	597
362663.ECP_4128	598
362663.ECP_2914	599
362663.ECP_3756	600
362663.ECP_0009	601
362663.ECP_2476	602
362663.ECP_4029	603
362663.ECP_2477	604
362663.ECP_1255	605
362663.ECP_2983	606
362663.ECP_3483	607
362663.ECP_4326	608
362663.ECP_2662	609
362663.ECP_2664	610
362663.ECP_2663	611
362663.ECP_2666	612
362663.ECP_2906	613
362663.ECP_4333	614
362663.ECP_3472	615
362663.ECP_4235	616
362663.ECP_2074	617
362663.ECP_1762	618
362663.ECP_1761	619
362663.ECP_2088	620
362663.ECP_2073	621
362663.ECP_3471	622
362663.ECP_3469	623
362663.ECP_1492	624
362663.ECP_2832	625
362663.ECP_2834	626
362663.ECP_2833	627
362663.ECP_2233	628
362663.ECP_2982	629
362663.ECP_2717	630
362663.ECP_2715	631
362663.ECP_2714	632
362663.ECP_2981	633
362663.ECP_2831	634
362663.ECP_1249	635
362663.ECP_1248	636
362663.ECP_3126	637
362663.ECP_1491	638
362663.ECP_4602	639
362663.ECP_2481	640
362663.ECP_4600	641
362663.ECP_1270	642
362663.ECP_4603	643
362663.ECP_1271	644
362663.ECP_4601	645
362663.ECP_3125	646
362663.ECP_4159	647
362663.ECP_1247	648
362663.ECP_0319	649
362663.ECP_4113	650
362663.ECP_4574	651
362663.ECP_4111	652
362663.ECP_4114	653
362663.ECP_4112	654
362663.ECP_2782	655
362663.ECP_1490	656
362663.ECP_0318	657
362663.ECP_2009	658
362663.ECP_1595	659
362663.ECP_2008	660
362663.ECP_2072	661
362663.ECP_1796	662
362663.ECP_3917	663
362663.ECP_4575	664
362663.ECP_4285	665
362663.ECP_4284	666
362663.ECP_1374	667
362663.ECP_1375	668
362663.ECP_0609	669
362663.ECP_1596	670
362663.ECP_0676	671
362663.ECP_0876	672
362663.ECP_0878	673
362663.ECP_0677	674
362663.ECP_0675	675
362663.ECP_4116	676
362663.ECP_0678	677
362663.ECP_1719	678
362663.ECP_0824	679
362663.ECP_3530	680
362663.ECP_0825	681
